timestamp,battery_voltage,battery_percent,motor_a,motor_b,motor_c,motor_d
2024-06-17 20:24:18.616318,7.16,31,78,78,78,78
2024-06-17 20:24:19.616552,7.05,22,78,78,78,78
2024-06-17 20:24:20.617040,7.37,49,78,78,78,78
2024-06-17 20:24:21.617590,7.39,50,78,78,78,78
2024-06-17 20:24:22.618198,7.05,22,78,78,78,78
2024-06-17 20:24:23.618834,7.30,43,78,78,78,78
2024-06-17 20:24:24.620148,7.29,42,86,86,86,86
2024-06-17 20:24:25.620435,7.16,31,86,86,86,86
2024-06-17 20:24:26.621037,7.23,37,86,86,86,86
2024-06-17 20:24:27.621674,7.32,45,86,86,86,86
2024-06-17 20:24:28.622077,7.11,27,86,86,86,86
2024-06-17 20:24:29.622317,7.27,40,86,86,86,86
2024-06-17 20:24:30.622617,7.33,45,86,86,86,86
2024-06-17 20:24:31.623365,7.16,31,86,86,86,86
2024-06-17 20:24:32.624011,7.25,39,86,86,86,86
2024-06-17 20:24:33.624431,7.07,23,86,86,86,86
2024-06-17 20:24:34.624902,7.14,30,0,62,62,62
2024-06-17 20:24:35.625573,7.68,71,0,62,62,62
2024-06-17 20:24:36.626056,7.74,74,0,62,62,62
2024-06-17 20:24:37.626711,7.61,67,0,62,62,62
2024-06-17 20:24:38.627052,7.63,68,0,62,62,62
2024-06-17 20:24:39.627468,7.69,72,0,62,62,62
2024-06-17 20:24:40.628073,7.72,73,0,62,62,62
2024-06-17 20:24:41.628649,7.68,71,0,62,62,62
2024-06-17 20:24:42.628930,7.75,75,0,62,62,62
2024-06-17 20:24:43.630062,7.84,79,0,62,62,62
2024-06-17 20:24:44.630616,7.66,70,0,0,0,0
2024-06-17 20:24:45.631099,7.84,79,0,0,0,0
2024-06-17 20:24:46.631609,7.84,79,0,0,0,0
2024-06-17 20:24:47.631975,7.84,79,0,0,0,0
2024-06-17 20:24:48.632668,7.83,79,0,0,0,0
2024-06-17 20:24:49.632884,7.83,79,0,0,0,0
2024-06-17 20:24:50.633311,7.86,80,0,0,0,0
2024-06-17 20:24:51.633956,7.85,80,0,0,0,0
2024-06-17 20:24:52.634576,7.85,80,0,0,0,0
2024-06-17 20:24:53.635266,7.85,80,0,0,0,0
2024-06-17 20:24:54.635531,7.85,80,0,0,0,0
2024-06-17 20:24:55.635782,7.75,75,0,60,60,60
2024-06-17 20:24:56.636282,7.70,72,0,60,60,60
2024-06-17 20:24:57.637079,7.71,73,0,60,60,60
2024-06-17 20:24:58.637548,7.71,73,0,60,60,60
2024-06-17 20:24:59.637883,7.62,67,0,60,60,60
2024-06-17 20:25:00.638312,7.46,56,0,60,60,60
2024-06-17 20:25:01.638728,7.76,76,0,60,60,60
2024-06-17 20:25:02.639625,7.75,75,0,60,60,60
2024-06-17 20:25:03.640113,7.33,45,0,60,60,60
2024-06-17 20:25:04.643656,7.82,78,0,60,60,60
2024-06-17 20:25:05.644149,7.16,31,100,100,100,100
2024-06-17 20:25:06.644827,7.16,31,100,100,100,100
2024-06-17 20:25:07.645297,7.16,31,100,100,100,100
2024-06-17 20:25:08.645482,7.19,34,100,100,100,100
2024-06-17 20:25:09.646087,7.19,33,100,100,100,100
2024-06-17 20:25:10.646450,7.10,26,100,100,100,100
2024-06-17 20:25:11.646997,7.20,34,100,100,100,100
2024-06-17 20:25:12.647612,7.18,33,100,100,100,100
