,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
128,Acer Iconia X12 Tablet,"₹28,990",71,Wi-Fi,"Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 30W Fast Charging,"12.6 inches, 2560 x 1600 px Display",13 MP Rear & 8 MP Front Camera,Android v14,No FM Radio
129,Oppo Pad 3 Pro,"₹39,990",79,No Sim Supported,Wi-Fi,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 256 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"12.1 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
130,Realme Pad 3 Tablet,"₹22,990",69,Single Sim,"3G, 4G, VoLTE, Wi-Fi",Octa Core Processor,"8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"11.5 inches, 1800 x 3200 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
131,Lenovo Tab K11 (Wi-Fi Only),"₹17,999",69,No Sim Supported,Wi-Fi,"Helio G88, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"10.95 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
132,Honor Pad X9 (8GB RAM + 128GB),"₹14,712",72,Wi-Fi,"Snapdragon 685, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",7250 mAh Battery with Fast Charging,"11.5 inches, 1200 x 2000 px Display",5 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
133,OnePlus Pad Pro Tablet,"₹33,999",77,No Sim Supported,"Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 128 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"12.1 inches, 2120 x 3000 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
134,Huawei MatePad 11.5 S,"₹29,999",63,No Sim Supported,Wi-Fi,Octa Core Processor,"8 GB RAM, 256 GB inbuilt",8800 mAh Battery with 22.5W Fast Charging,"11.5 inches, 1840 x 2800 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,HarmonyOS v4.2
135,Apple iPad Air 13 2024 Tablet 5G (1TB),"₹1,15,020",77,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 1 TB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
136,Apple iPad Air 2024 11 inch Tablet 5G (1TB),"₹1,03,999",78,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 1 TB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
137,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 1TB + Nano Texture Glass),"₹1,99,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
138,Apple iPad Pro 11 inch Tablet 5G (1TB + Standard Glass),"₹1,79,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
139,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 256GB),"₹1,24,490",70,No Sim Supported,Wi-Fi,"Apple M4, Nine Core Processor","8 GB RAM, 256 GB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
140,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 512GB),"₹1,43,990",71,No Sim Supported,Wi-Fi,"Apple M4, Nine Core Processor","8 GB RAM, 512 GB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
141,Apple iPad Air 13 2024 Tablet 5G,"₹79,994",75,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
142,Apple iPad Air 13 2024 Tablet (512GB + Wi-FI),"₹90,261",69,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
143,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 1TB + Standard Glass),"₹1,89,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
144,Apple iPad Air 13 2024 Tablet (256GB + Wi-FI),"₹73,999",69,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
