,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
187,Apple iPad Air 11 2025 Tablet (256GB + 5G),"₹82,345",74,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
188,Apple iPad Air 11 2025 Tablet (512GB + 5G),"₹1,01,743",75,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v18.3.1
189,Apple iPad Air 13 2025 Tablet (5G + 512GB),"₹1,24,900",75,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M3, Octa Core Processor","8 GB RAM, 512 GB inbuilt",9889 mAh Battery,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iOS v18.3.1
190,Wishtel IRA Duo Pro 5G Tablet,"₹29,189",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery,"12 inches, 2000 x 1200 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
191,Lenovo Yoga Pad Pro AI 2024,"₹55,990",77,Wi-Fi,No 3G,"Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 512 GB inbuilt",10200 mAh Battery with 68W Fast Charging,"12.7 inches, 1840 x 2944 px, 144 Hz Display",Wide Angle Rear & Wide Angle Front Camera,Android v14
192,Google Pixel Tablet 3,"₹99,990",70,Wi-Fi,No 3G,"Tensor G4, Octa Core, 3.1 GHz Processor","8 GB RAM, 256 GB inbuilt","12.1 inches, 1600 x 2760 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,Android v14,No FM Radio
193,Acer Iconia iM10-22 Tablet (8 GB RAM + 256 GB),"₹18,999",73,Dual Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",7100 mAh Battery,"10.36 inches, 2000 x 1200 px Display",16 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
194,Doogee T40 Pro Tablet,"₹32,990",76,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G100, Octa Core Processor","8 GB RAM, 256 GB inbuilt",9250 mAh Battery with 33W Fast Charging,"12.5 inches, 1600 x 3200 px, 120 Hz Display",50 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
195,Huawei MatePad 12 X,"₹79,990",68,No Sim Supported,Wi-Fi,"Kirin T90A, Octa Core Processor","8 GB RAM, 256 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"12 inches, 2800 x 1840 px, 144 Hz Display",13 MP + 8 MP Dual Rear & 8 MP Front Camera,HarmonyOS v4.2
196,Huawei MatePad Air Tablet 2024,"₹33,999",70,Single Sim,"3G, 4G, Wi-Fi","​Kirin, Octa Core Processor","8 GB RAM, 256 GB inbuilt",10100 mAh Battery with 66W Fast Charging,"12 inches, 2800 x 1840 px, 144 Hz Display",13 MP + 8 MP Dual Rear & 8 MP Front Camera,HarmonyOS v3.1
197,Wishtel IRA T1029 Tablet,"₹25,759",77,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery,"12 inches, 2000 x 1200 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
198,Apple iPad Pro 11 inch Tablet (Wi-Fi + 2TB + Nano Texture Glass),"₹2,09,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
199,Apple iPad Pro 11 inch Tablet 5G (2TB + Nano Texture Glass),"₹2,23,003",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
200,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 2TB + Standard Glass),"₹2,29,900",74,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
201,Apple iPad Pro 13 2024 Tablet (Wi-Fi + 2TB + Nano Texture Glass),"₹2,39,900",74,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
202,Apple iPad Pro 11 inch Tablet 5G (1TB + Nano Texture Glass),"₹1,89,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
203,Apple iPad Pro 13 2024 Tablet 5G (1TB + Nano Texture Glass),"₹2,19,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
204,Apple iPad Pro 11 inch Tablet (Wi-Fi + 1TB + Nano Texture Glass),"₹1,69,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
205,Apple iPad Air 2024 11 inch Tablet (1TB + Wi-Fi ),"₹86,503",69,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 1 TB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
206,Apple iPad Pro 13 2024 Tablet 5G (2TB + Standard Glass),"₹2,49,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
207,Apple iPad Pro 11 inch Tablet 5G (2TB + Standard Glass),"₹2,19,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
208,Apple iPad Air 2024 11 inch Tablet (512GB + Wi-Fi ),"₹72,937",68,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
209,Apple iPad Pro 13 2024 Tablet 5G (1TB + Standard Glass),"₹2,09,900",,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
210,Apple iPad Air 2024 11 inch Tablet 5G (256GB),"₹84,900",76,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
211,Apple iPad Air 13 2024 Tablet (128GB + Wi-FI),"₹79,900",68,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
212,Apple iPad Air 13 2024 Tablet 5G (512GB),"₹1,02,024",76,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
213,Apple iPad Pro 11 inch Tablet (Wi-Fi + 2TB + Standard Glass),"₹1,99,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 2 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
214,Apple iPad Air 13 2024 Tablet (1TB + Wi-FI),"₹1,09,994",70,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 1 TB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
215,Apple iPad Pro 11 inch Tablet 5G (512GB),"₹1,39,900",78,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Nine Core Processor","8 GB RAM, 512 GB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
216,Apple iPad Pro 11 inch Tablet (Wi-Fi + 1TB + Standard Glass),"₹1,59,900",73,No Sim Supported,Wi-Fi,"Apple M4, Deca Core Processor","16 GB RAM, 1 TB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
217,Apple iPad Pro 13 2024 Tablet 5G (512GB),"₹1,62,990",78,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Nine Core Processor","8 GB RAM, 512 GB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
218,Apple iPad Pro 11 inch Tablet (Wi-Fi +512GB),"₹1,11,990",71,No Sim Supported,Wi-Fi,"Apple M4, Nine Core Processor","8 GB RAM, 512 GB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
219,Apple iPad Air 13 2024 Tablet 5G (256GB),"₹84,716",76,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",9889 mAh Battery with Fast Charging,"13 inches, 2048 x 2732 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
220,Apple iPad Air 2024 11 inch Tablet 5G (512GB),"₹79,900",77,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
221,HTC A101 Plus Tablet,"₹13,499",72,Dual Sim,"3G, 4G, Wi-Fi","Unisoc T606, Octa Core, 1.6 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 10W Fast Charging,"10.95 inches, 1200 x 1920 px Display",13 MP Dual Rear & 8 MP Front Camera,Memory Card (Hybrid)
222,Teclast T65 Max Tablet,"₹19,990",,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 18W Fast Charging,"12.95 inches, 1920 x 1200 px Display",13 MP + 0.1 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
223,Blackview MEGA 1,"₹21,990",,Dual Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8800 mAh Battery with 33W Fast Charging,"11.5 inches, 1200 x 2000 px, 120 Hz Display",50 MP Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
224,Vivo Pad 3 Pro,"₹39,990",75,No Sim Supported,"Wi-Fi, NFC","Dimensity 9300, Octa Core, 3.25 GHz Processor","8 GB RAM, 128 GB inbuilt",11500 mAh Battery with 66W Fast Charging,"13 inches, 2064 x 3096 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
225,Huawei MatePad Pro 11 2024 Tablet,"₹49,990",,Wi-Fi,No 3G,"Kirin  9000s, Octa Core, 2.62 GHz Processor","12 GB RAM, 256 GB inbuilt",8300 mAh Battery with 66W Fast Charging,"11 inches, 2560 x 1600 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB"
226,Doogee T30 Ultra Tablet,"₹25,990",76,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","12 GB RAM, 256 GB inbuilt",8580 mAh Battery with 18W Fast Charging,"11 inches, 1600 x 2560 px, 90 Hz Display",16 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
227,Doogee T20 Ultra Tablet,"₹23,990",75,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","12 GB RAM, 256 GB inbuilt",10800 mAh Battery,"12 inches, 1200 x 2000 px, 90 Hz Display",16 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
228,Cubot Tab 40,"₹10,499",73,Dual Sim,"3G, 4G, Wi-Fi","Tiger  T616, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery,"10.4 inches, 1200 x 2000 px Display",13 MP Rear & 5 MP Front Camera,Memory Card (Hybrid)
229,Doogee T10 Plus Tablet,"₹24,999",63,Wi-Fi,"Unisoc T606, Octa Core, 2 GHz Processor","20 GB RAM, 256 GB inbuilt",8250 mAh Battery with 18W Fast Charging,10.51 inches Display,13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
230,Doogee U10 Tablet,"₹23,999",,Wi-Fi,"Rockchip RK3562, Quad Core, 2 GHz Processor",9 GB RAM,5060 mAh Battery,10.1 inches Display,8 MP Rear & 5 MP Front Camera,No FM Radio,Bluetooth
231,Doogee T10 Pro Tablet,"₹29,999",61,Wi-Fi,"Unisoc T606, Octa Core, 2 GHz Processor","15 GB RAM, 256 GB inbuilt",8580 mAh Battery with 18W Fast Charging,10.1 inches Display,13 MP Rear & 8 MP Front Camera,Android v12,No FM Radio
232,Teclast M50 Pro Tablet,"₹15,900",77,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T616, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with Fast Charging,"10.1 inches, 1920 x 1200 px Display",13 MP + 0.3 MP Dual Rear & 5 MP Front Camera,Memory Card (Hybrid)
233,Doogee T20 Tablet,"₹17,990",79,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T616, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",8300 mAh Battery with 18W Fast Charging,"10.4 inches, 1200 x 2000 px Display",16 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
234,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 2TB),"₹1,89,900",74,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","16 GB RAM, 2 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
235,Apple iPad Pro 12.9 2022 Tablet (256GB),"₹1,34,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
236,Apple iPad Pro 12.9 2022 Tablet (1TB),"₹1,69,332",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","16 GB RAM, 1 TB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
237,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 512GB),"₹99,355",71,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
238,Apple iPad Pro 11 2022 Tablet (1TB),"₹1,28,520",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","16 GB RAM, 1 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
239,Apple iPad Pro 11 2022 Tablet (512GB),"₹1,06,530",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
240,Apple iPad Pro 12.9 2022 Tablet (Wi-Fi + 1TB),"₹1,28,520",74,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","16 GB RAM, 1 TB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
241,Apple iPad Pro 12.9 2022 Tablet,"₹1,24,900",79,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
242,Apple iPad Pro 12.9 2022 Tablet (512GB),"₹1,54,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
243,Apple iPad Pro 12.9 2022 Tablet (Wi-Fi + 2TB),"₹2,19,900",75,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","16 GB RAM, 2 TB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
244,Wishtel IRA T1020 4G Tablet,"₹21,079",75,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery,"10.4 inches, 2000 x 1200 px Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 256 GB"
245,Apple iPad Pro 12.9 2021 Tablet (Wi-Fi + 2TB),"₹1,98,900",74,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","16 GB RAM, 2 TB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
246,Apple iPad Pro 11 2021 Tablet (1TB),"₹1,48,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","16 GB RAM, 1 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
247,Apple iPad Pro 11 2021 Tablet (2TB),"₹1,84,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","16 GB RAM, 2 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
248,Apple iPad Pro 12.9 2021 Tablet (Wi-Fi + 1TB),"₹1,62,900",74,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","16 GB RAM, 1 TB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
249,Apple iPad Pro 11 2021 Tablet (Wi-Fi + 2TB),"₹1,70,900",74,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","16 GB RAM, 2 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
250,Apple iPad Air 2024 11 inch Tablet (Wi-Fi + 128GB),"₹47,994",67,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
251,Lenovo Legion Y700 2023 Gaming Tablet,"₹29,990",,Single Sim,"VoLTE, Wi-Fi","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 45W Fast Charging,"8.8 inches, 1600 x 2560 px, 144 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
252,Doogee T20S Tablet,"₹24,999",76,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger  T616, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7500 mAh Battery,"10.4 inches, 1200 x 1920 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
253,Honor MagicPad 13 Tablet,"₹36,999",72,Wi-Fi,"Snapdragon 888, Octa Core, 2.84 GHz Processor","8 GB RAM, 256 GB inbuilt",10050 mAh Battery with 66W Fast Charging,"13 inches, 1840 x 2880 px, 144 Hz Display",13 MP Rear & 9 MP Front Camera,Android v13,No FM Radio
254,iQOO Pad,"₹29,999",76,"Wi-Fi, NFC",No 3G,"Dimensity 9000 Plus, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.1 inches, 1968 x 2800 px, 144 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v13
255,Samsung Galaxy Tab S9 Plus,"₹97,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
256,Lenovo Legion Y900 Tablet,"₹59,990",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 9000, Octa Core, 3.05 GHz Processor","8 GB RAM, 128 GB inbuilt",12300 mAh Battery with 68W Fast Charging,"14.5 inches, 1080 x 2400 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
257,Lenovo Tab P11 5G (8GB RAM + 256GB),"₹39,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon  750G , Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",7500 mAh Battery with Fast Charging,"11 inches, 1200 x 2000 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
258,Xiaomi Pad 6 Pro Tablet,"₹29,990",75,Wi-Fi,No 3G,"Snapdragon  8+ Gen1, Octa Core, 3.19 GHz Processor","8 GB RAM, 128 GB inbuilt",8600 mAh Battery with 67W Fast Charging,"11 inches, 1800 x 2880 px, 144 Hz Display",50 MP + 2 MP Dual Rear & 20 MP Front Camera,Android v13
259,Oppo Pad 2 Tablet,"₹35,990",78,"VoLTE, Wi-Fi","Dimensity 9000, Octa Core, 3.05 GHz Processor","8 GB RAM, 256 GB inbuilt",9510 mAh Battery with 67W Fast Charging,"11.61 inches, 2000 x 2800 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13,No FM Radio
260,Lenovo Yoga Paper E Ink Tablet,"₹29,999",68,Wi-Fi,No 3G,"Helio G90T, Octa Core, 2.05 GHz Processor","8 GB RAM, 128 GB inbuilt",8500 mAh Battery,"11 inches, 2000 x 1200 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
261,Apple iPad Pro 11 2022 Tablet,"₹86,594",78,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
262,Google Pixel Tablet Pro,"₹45,990",62,Wi-Fi,Google Tensor 2,"8 GB RAM, 128 GB inbuilt",7100 mAh Battery with Fast Charging,"12.1 inches, 1200 x 2000 px, 120 Hz Display",12 MP + 12 MP Dual Rear & 8 MP Front Camera,Android v13,No FM Radio
263,Teclast T50 Tablet,"₹19,990",77,Dual Sim,"3G, 4G, Wi-Fi","Tiger T618, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7500 mAh Battery with 18W Fast Charging,"11 inches, 2000 x 1200 px Display",20 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
264,Lenovo Tab P12 Pro (Wi-Fi + 256GB),"₹49,999",,"Wi-Fi, NFC",No 3G,"Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.6 inches, 2560 x 1600 px, 120 Hz Display",13 MP + 5 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
265,Lenovo Tab P12 Pro (8GB RAM + 256GB),"₹69,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon  870 , Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10200 mAh Battery with 45W Fast Charging,"12.6 inches, 1600 x 2560 px, 120 Hz Display",13 MP + 5 MP Dual Rear & 8 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
266,Samsung Galaxy Tab S8 Tablet (Wi-Fi Only),"₹46,990",79,Wi-Fi,No 3G,"Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
